568461	[u'k__Bacteria'	 u'p__Actinobacteria'	 u'c__Thermoleophilia'					0
1090006	[u'k__Bacteria'	 u'p__Actinobacteria'	 u'c__Thermoleophilia'					0
816291	[u'k__Bacteria'	 u'p__Actinobacteria'	 u'c__Thermoleophilia'					0
319944	[u'k__Bacteria'	 u'p__Actinobacteria'	 u'c__Thermoleophilia'					0
546371	[u'k__Bacteria'	 u'p__Actinobacteria'	 u'c__Thermoleophilia'					0
285591	[u'k__Bacteria'	 u'p__Actinobacteria'	 u'c__Thermoleophilia'					0
864304	[u'k__Bacteria'	 u'p__Actinobacteria'	 u'c__Thermoleophilia'					0
407437	[u'k__Bacteria'	 u'p__Actinobacteria'	 u'c__Thermoleophilia'					0
368218	[u'k__Bacteria'	 u'p__Actinobacteria'	 u'c__Thermoleophilia'					0
1094887	[u'k__Bacteria'	 u'p__Actinobacteria'	 u'c__Thermoleophilia'					0
960217	[u'k__Bacteria'	 u'p__Actinobacteria'	 u'c__Thermoleophilia'					0
551647	[u'k__Bacteria'	 u'p__Bacteroidetes'	 u'c__[Saprospirae]'		4.6			81.99643494
562177	[u'k__Bacteria'	 u'p__Bacteroidetes'	 u'c__Cytophagia'		2.3			40.99821747
4342317	[u'k__Bacteria'	 u'p__Bacteroidetes'	 u'c__Sphingobacteriia'		1.3			23.17290553
1042671	[u'k__Bacteria'	 u'p__Bacteroidetes'	 u'c__[Saprospirae]'					0
1104437	[u'k__Bacteria'	 u'p__Bacteroidetes'	 u'c__[Saprospirae]'					0
355046	[u'k__Bacteria'	 u'p__Bacteroidetes'	 u'c__[Saprospirae]'					0
204934	[u'k__Bacteria'	 u'p__Bacteroidetes'	 u'c__[Saprospirae]'					0
242902	[u'k__Bacteria'	 u'p__Bacteroidetes'	 u'c__[Saprospirae]'					0
937954	[u'k__Bacteria'	 u'p__Bacteroidetes'	 u'c__[Saprospirae]'					0
233636	[u'k__Bacteria'	 u'p__Bacteroidetes'	 u'c__[Saprospirae]'					0
809189	[u'k__Bacteria'	 u'p__Bacteroidetes'	 u'c__[Saprospirae]'					0
758928	[u'k__Bacteria'	 u'p__Bacteroidetes'	 u'c__[Saprospirae]'					0
2195501	[u'k__Bacteria'	 u'p__Bacteroidetes'	 u'c__[Saprospirae]'					0
943138	[u'k__Bacteria'	 u'p__Bacteroidetes'	 u'c__Cytophagia'					0
809485	[u'k__Bacteria'	 u'p__Bacteroidetes'	 u'c__Cytophagia'					0
1069076	[u'k__Bacteria'	 u'p__Bacteroidetes'	 u'c__Cytophagia'					0
1008533	[u'k__Bacteria'	 u'p__Bacteroidetes'	 u'c__Cytophagia'					0
966576	[u'k__Bacteria'	 u'p__Bacteroidetes'	 u'c__Sphingobacteriia'					0
113674	[u'k__Bacteria'	 u'p__Bacteroidetes'	 u'c__Sphingobacteriia'					0
112867	[u'k__Bacteria'	 u'p__Chloroflexi'	 u'c__Ellin6529'		1.2			21.39037433
207355	[u'k__Bacteria'	 u'p__Chloroflexi'	 u'c__Anaerolineae'		0.3			5.347593583
2629538	[u'k__Bacteria'	 u'p__Chloroflexi'	 u'c__TK10'		0.3			5.347593583
583206	[u'k__Bacteria'	 u'p__Chloroflexi'	 u'c__TK17'		0.1			1.782531194
833957	[u'k__Bacteria'	 u'p__Chloroflexi'	 u'c__Ellin6529'					0
756973	[u'k__Archaea'	 u'p__Crenarchaeota'	 u'c__Thaumarchaeota'		2.6			46.34581105
556561	[u'k__Archaea'	 u'p__Crenarchaeota'	 u'c__Thaumarchaeota'					0
1107760	[u'k__Archaea'	 u'p__Crenarchaeota'	 u'c__Thaumarchaeota'					0
1132905	[u'k__Archaea'	 u'p__Crenarchaeota'	 u'c__Thaumarchaeota'					0
833317	[u'k__Bacteria'	 u'p__Firmicutes'	 u'c__Bacilli'		1			17.82531194
314599	[u'k__Bacteria'	 u'p__Gemmatimonadetes'	 u'c__Gemm-1'		1.6			28.52049911
511514	[u'k__Bacteria'	 u'p__Gemmatimonadetes'	 u'c__Gemmatimonadetes'		0.9			16.04278075
1111883	[u'k__Bacteria'	 u'p__Gemmatimonadetes'	 u'c__Gemm-1'					0
4350559	[u'k__Bacteria'	 u'p__Gemmatimonadetes'	 u'c__Gemm-1'					0
